"latitude","longitude","title","date","closureID","typeOfClosure","typeOfWork","beginLocationName","travelFlowDirection","beginFreeFormDescription","endFreeFormDescription","beginRoute","endRoute"
"39.96305","-123.78810","nan to Old Route 101","2017-10-02 07:01:00","C271FA","Full","Emergency Work","","North / South","0.5 mile south of Piercy","","SR-271","SR-271"
"39.96516","-123.79676","nan to Old Route 101","2017-10-02 07:01:00","C271FA","Full","Emergency Work","","North / South","0.5 mile south of Piercy","","SR-271","SR-271"
"40.88834","-123.99967","Route 299/101 Separation to nan","2017-10-13 19:01:00","C299WA","Full","Grinding and Paving","Route 299/101 Separation","West","","R5.35 Blue Lake Road","SR-299","SR-299"
"40.88831","-123.99949","nan to Route 299/101 Separation","2017-10-13 19:01:00","C299WA","Full","Grinding and Paving","","West","R5.36 Blue Lake Road","","SR-299","SR-299"
"38.91014","-122.61228","Route 53 to Route 53","2017-10-13 15:01:00","P53CA","Full","Special Event","Route 53","North / South","","","SR-53","SR-53"
"37.46892","-122.15526","Route 101 to Route 114 (Willow Ave)","2017-10-13 20:01:00","C101PA","Full","AC Paving/Overlay","Route 101","South","","","US-101","US-101"
"37.46892","-122.15526","Route 101 to Route 114 (Willow Ave)","2017-10-13 20:01:00","C101PA","Full","Drainage Work","Route 101","North","","","US-101","US-101"
"37.71946","-122.17549","Route 112 (Davis St) to Route 880","2017-10-13 23:01:00","C112CA","Full","Pavement Repair","Route 112 (Davis St)","East","","","SR-112","SR-112"
"37.72018","-122.17412","Route 112 (Davis St) to Route 880","2017-10-13 23:01:00","C112CA","Full","Pavement Repair","Route 112 (Davis St)","West","","","SR-112","SR-112"
"38.21267","-122.55035","Jct Lakeville Hwy & Stage Gulch Road to nan","2017-10-13 20:01:00","C116NA","Full","Excavate & Re-Pave","Jct Lakeville Hwy & Stage Gulch Road","East / West","","Jct Lakeville Hwy and Old Adobe Rd","SR-116","SR-116"
"38.23544","-122.52750","Jct Lakeville Hwy & Stage Gulch Road to nan","2017-10-13 20:01:00","C116NA","Full","Excavate & Re-Pave","Jct Lakeville Hwy & Stage Gulch Road","East / West","","Jct Lakeville Hwy and Old Adobe Rd","SR-116","SR-116"
"38.32027","-122.27204","R-Hagen Rd to Trancas St","2017-06-14 10:01:00","C121LA","Full","Bridge Construction","R-Hagen Rd","North / South","","","SR-121","SR-121"
"38.32518","-122.27407","R-Hagen Rd to Trancas St","2017-06-14 10:01:00","C121LA","Full","Bridge Construction","R-Hagen Rd","North / South","","","SR-121","SR-121"
